PurchaseOrderID,LineNumber,ProductID,UnitPrice,OrderQty,ReceivedQty,RejectedQty,DueDate
1001,1,101,29.99,50,48,2,2024-02-15 00:00:00.000
1001,2,102,149.50,20,20,0,2024-02-15 00:00:00.000
1002,1,103,9.75,100,95,5,2024-02-20 00:00:00.000
1002,2,104,74.99,30,30,0,2024-02-20 00:00:00.000
1003,1,105,199.00,10,8,2,2024-03-01 00:00:00.000
1003,2,106,55.25,40,40,0,2024-03-01 00:00:00.000
1003,3,107,12.49,200,195,5,2024-03-01 00:00:00.000
1004,1,108,349.99,5,5,0,2024-03-10 00:00:00.000
1004,2,109,22.00,75,70,5,2024-03-10 00:00:00.000
1005,1,110,88.75,15,15,0,2024-03-15 00:00:00.000
TRAILER,10
